"","country","year","rank","ladder_score","GDP","social_support","life_expectancy","freedom","generosity","corruption","region"
"1","Albania",2020,60,5.365,9.497,0.71,69.3,0.754,0.007,0.891,"Central and Eastern Europe"
"2","Argentina",2020,44,5.901,9.85,0.897,69.2,0.823,-0.122,0.816,"Latin America and Caribbean"
"3","Australia",2020,11,7.137,10.76,0.937,74.2,0.905,0.21,0.491,"North America and ANZ"
"4","Austria",2020,9,7.213,10.851,0.925,73.6,0.912,0.011,0.464,"Western Europe"
"5","Bangladesh",2020,64,5.28,8.472,0.739,65.3,0.777,-0.009,0.742,"South Asia"
"6","Belgium",2020,15,6.839,10.771,0.904,72.4,0.767,-0.164,0.634,"Western Europe"
"7","Benin",2020,85,4.408,8.102,0.507,55.1,0.783,-0.083,0.532,"Sub-Saharan Africa"
"8","Bolivia",2020,54,5.559,8.998,0.805,64.2,0.877,-0.054,0.868,"Latin America and Caribbean"
"9","Bosnia and Herzegovina",2020,55,5.516,9.583,0.899,68.4,0.74,0.138,0.916,"Central and Eastern Europe"
"10","Brazil",2020,38,6.11,9.522,0.831,66.8,0.786,-0.053,0.729,"Latin America and Caribbean"
"11","Bulgaria",2020,53,5.598,9.991,0.916,67.2,0.818,-0.004,0.901,"Central and Eastern Europe"
"12","Cambodia",2020,86,4.377,8.362,0.724,62.4,0.963,0.052,0.863,"Southeast Asia"
"13","Cameroon",2020,67,5.241,8.175,0.72,54.3,0.675,0.049,0.837,"Sub-Saharan Africa"
"14","Canada",2020,14,7.025,10.73,0.931,74,0.887,0.05,0.434,"North America and ANZ"
"15","Chile",2020,35,6.151,10.02,0.888,70.1,0.781,0.033,0.812,"Latin America and Caribbean"
"16","China",2020,49,5.771,9.702,0.808,69.9,0.891,-0.103,NA,"East Asia"
"17","Colombia",2020,52,5.709,9.495,0.797,68.3,0.84,-0.085,0.808,"Latin America and Caribbean"
"18","Croatia",2020,21,6.508,10.166,0.923,71.4,0.837,-0.063,0.961,"Central and Eastern Europe"
"19","Cyprus",2020,30,6.26,NA,0.806,74.1,0.763,NA,0.816,"Western Europe"
"20","Denmark",2020,2,7.515,10.91,0.947,73,0.938,0.052,0.214,"Western Europe"
"21","Dominican Republic",2020,68,5.168,9.802,0.806,66.4,0.835,-0.128,0.636,"Latin America and Caribbean"
"22","Ecuador",2020,61,5.354,9.244,0.804,69.1,0.829,-0.157,0.855,"Latin America and Caribbean"
"23","Egypt",2020,82,4.472,9.383,0.673,62.3,0.77,-0.112,NA,"Middle East and North Africa"
"24","El Salvador",2020,58,5.462,9.019,0.696,66.7,0.924,-0.126,0.583,"Latin America and Caribbean"
"25","Estonia",2020,26,6.453,10.459,0.958,69,0.954,-0.082,0.398,"Central and Eastern Europe"
"26","Ethiopia",2020,80,4.549,7.711,0.823,59.5,0.769,0.188,0.784,"Sub-Saharan Africa"
"27","Finland",2020,1,7.889,10.75,0.962,72.1,0.962,-0.116,0.164,"Western Europe"
"28","France",2020,18,6.714,10.643,0.947,74.2,0.823,-0.169,0.565,"Western Europe"
"29","Georgia",2020,69,5.123,9.569,0.718,64.1,0.764,-0.221,0.583,"Commonwealth of Independent States"
"30","Germany",2020,6,7.312,10.833,0.905,72.8,0.864,-0.06,0.424,"Western Europe"
"31","Ghana",2020,62,5.319,8.59,0.643,58,0.824,0.2,0.847,"Sub-Saharan Africa"
"32","Greece",2020,48,5.788,10.215,0.779,72.8,0.565,-0.241,0.764,"Western Europe"
"33","Hungary",2020,40,6.038,10.335,0.943,68.4,0.771,-0.12,0.836,"Central and Eastern Europe"
"34","India",2020,87,4.225,8.703,0.617,60.9,0.906,0.075,0.78,"South Asia"
"35","Iran",2020,73,4.865,NA,0.757,66.6,0.6,NA,0.71,"Middle East and North Africa"
"36","Ireland",2020,12,7.035,11.323,0.96,72.5,0.882,0.014,0.356,"Western Europe"
"37","Israel",2020,10,7.195,10.538,0.959,73.7,0.831,-0.049,0.748,"Middle East and North Africa"
"38","Italy",2020,23,6.488,10.563,0.89,74,0.718,-0.15,0.844,"Western Europe"
"39","Ivory Coast",2020,66,5.257,8.565,0.613,50.7,0.77,0.016,0.777,"Sub-Saharan Africa"
"40","Japan",2020,37,6.118,10.58,0.887,75.2,0.806,-0.259,0.609,"East Asia"
"41","Jordan",2020,88,4.094,9.15,0.709,67.2,0.779,-0.15,NA,"Middle East and North Africa"
"42","Kazakhstan",2020,33,6.168,10.135,0.966,65.8,0.872,-0.056,0.661,"Commonwealth of Independent States"
"43","Kenya",2020,81,4.547,8.365,0.674,61.3,0.702,0.26,0.837,"Sub-Saharan Africa"
"44","Kosovo",2020,29,6.294,NA,0.792,NA,0.88,NA,0.91,"Central and Eastern Europe"
"45","Kyrgyzstan",2020,31,6.25,8.503,0.902,64.7,0.935,0.103,0.931,"Commonwealth of Independent States"
"46","Laos",2020,63,5.284,8.96,0.66,59.5,0.915,0.141,0.748,"Southeast Asia"
"47","Latvia",2020,32,6.229,10.3,0.928,67.4,0.82,-0.078,0.809,"Central and Eastern Europe"
"48","Lithuania",2020,27,6.391,10.504,0.953,68.5,0.824,-0.122,0.829,"Central and Eastern Europe"
"49","Malta",2020,34,6.157,NA,0.938,72.2,0.931,NA,0.675,"Western Europe"
"50","Mauritius",2020,41,6.015,9.972,0.893,67,0.843,-0.037,0.772,"Sub-Saharan Africa"
"51","Mexico",2020,43,5.964,9.782,0.779,68.9,0.873,-0.119,0.778,"Latin America and Caribbean"
"52","Moldova",2020,46,5.812,9.462,0.874,66.4,0.859,-0.058,0.941,"Commonwealth of Independent States"
"53","Mongolia",2020,42,6.011,9.396,0.918,62.7,0.718,0.141,0.843,"East Asia"
"54","Montenegro",2020,51,5.722,9.913,0.887,68.9,0.802,0.06,0.845,"Central and Eastern Europe"
"55","Morocco",2020,76,4.803,8.871,0.553,66.5,0.819,-0.229,0.803,"Middle East and North Africa"
"56","Myanmar",2020,84,4.431,8.554,0.796,59.6,0.825,0.47,0.647,"Southeast Asia"
"57","Namibia",2020,83,4.451,9.104,0.741,57.1,0.666,-0.104,0.81,"Sub-Saharan Africa"
"58","Netherlands",2020,4,7.504,10.901,0.944,72.5,0.935,0.151,0.281,"Western Europe"
"59","New Zealand",2020,8,7.257,10.6,0.952,73.6,0.918,0.125,0.283,"North America and ANZ"
"60","Nigeria",2020,56,5.503,8.484,0.739,50.5,0.713,0.099,0.913,"Sub-Saharan Africa"
"61","North Macedonia",2020,71,5.054,9.69,0.75,65.56,0.787,0.131,0.877,"Central and Eastern Europe"
"62","Norway",2020,7,7.29,11.042,0.956,73.4,0.965,0.075,0.271,"Western Europe"
"63","Philippines",2020,70,5.08,9.061,0.781,62.1,0.932,-0.116,0.744,"Southeast Asia"
"64","Poland",2020,36,6.139,10.371,0.953,70.1,0.767,-0.007,0.787,"Central and Eastern Europe"
"65","Portugal",2020,50,5.768,10.371,0.875,72.8,0.913,-0.238,0.867,"Western Europe"
"66","Russia",2020,57,5.495,10.162,0.887,65.1,0.714,-0.071,0.823,"Commonwealth of Independent States"
"67","Saudi Arabia",2020,19,6.56,10.701,0.89,66.9,0.884,-0.111,NA,"Middle East and North Africa"
"68","Serbia",2020,39,6.042,9.788,0.852,69,0.843,0.149,0.824,"Central and Eastern Europe"
"69","Slovakia",2020,20,6.519,10.332,0.954,69.5,0.762,-0.075,0.901,"Central and Eastern Europe"
"70","Slovenia",2020,24,6.462,10.478,0.953,71.7,0.958,-0.081,0.797,"Central and Eastern Europe"
"71","South Africa",2020,72,4.947,9.332,0.891,57.3,0.757,-0.015,0.912,"Sub-Saharan Africa"
"72","South Korea",2020,47,5.793,10.648,0.808,74.2,0.711,-0.106,0.665,"East Asia"
"73","Spain",2020,22,6.502,10.488,0.935,75,0.783,-0.121,0.73,"Western Europe"
"74","Sweden",2020,5,7.314,10.838,0.936,72.8,0.951,0.091,0.203,"Western Europe"
"75","Switzerland",2020,3,7.508,11.081,0.946,74.7,0.917,-0.064,0.28,"Western Europe"
"76","Taiwan Province of China",2020,17,6.751,NA,0.901,NA,0.799,NA,0.711,"East Asia"
"77","Tajikistan",2020,59,5.373,8.08,0.79,64.7,NA,-0.04,0.55,"Commonwealth of Independent States"
"78","Tanzania",2020,89,3.786,7.881,0.74,58.5,0.83,0.295,0.521,"Sub-Saharan Africa"
"79","Thailand",2020,45,5.885,9.769,0.867,67.6,0.84,0.273,0.918,"Southeast Asia"
